Base_Term,Skill_Term,City,radius,indeed_url,new_jobs_count
Data Analytics,Visualisation,"New York,NY",25,"http://www.indeed.com/jobs?q=Visualisation+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,web-based data-viz,"New York,NY",25,"http://www.indeed.com/jobs?q=web-based data-viz+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,web-based data-viz,"New York,NY",25,"http://www.indeed.com/jobs?q=web-based data-viz+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,XML,"New York,NY",25,"http://www.indeed.com/jobs?q=XML+Data Scientist&l=New York,NY&radius=25",6
Data Analytics,XML,"New York,NY",25,"http://www.indeed.com/jobs?q=XML+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,agent-based Simulation,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=agent-based Simulation+Data Scientist&l=Los Angeles,CA&radius=25",2
Data Analytics,agent-based Simulation,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=agent-based Simulation+Data Analytics&l=Los Angeles,CA&radius=25",2
Data Scientist,ANOVA,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=ANOVA+Data Scientist&l=Los Angeles,CA&radius=25",8
Data Analytics,ANOVA,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=ANOVA+Data Analytics&l=Los Angeles,CA&radius=25",0
Data Scientist,Bayes networks,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=Bayes networks+Data Scientist&l=Los Angeles,CA&radius=25",0
Data Analytics,Bayes networks,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=Bayes networks+Data Analytics&l=Los Angeles,CA&radius=25",1
Data Scientist,Bayesian Statistics,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=Bayesian Statistics+Data Scientist&l=Los Angeles,CA&radius=25",8
Data Analytics,Bayesian Statistics,"Los Angeles,CA",25,"http://www.indeed.com/jobs?q=Bayesian Statistics+Data Analytics&l=Los Angeles,CA&radius=25",4
